Threads,Match,Time (ms),Speedup,Efficiency
1,1,0.105,1,1
2,1,0.213,0.492958,0.246479
3,1,0.1,1.05,0.35
4,1,0.109,0.963303,0.240826
5,1,0.103,1.01942,0.203883
6,1,0.097,1.08247,0.180412
7,1,0.109,0.963303,0.137615
8,1,0.117,0.897436,0.112179
9,1,0.095,1.10526,0.122807
10,1,0.105,1,0.1
11,1,0.109,0.963303,0.087573
12,1,0.11,0.954545,0.0795455
