Threads,Match,Time (ms),Speedup,Efficiency
1,1,0.035,1,1
2,1,0.044,0.795455,0.397727
3,1,0.046,0.76087,0.253623
4,1,0.046,0.76087,0.190217
5,1,0.041,0.853659,0.170732
6,1,0.044,0.795455,0.132576
7,1,0.046,0.76087,0.108696
8,1,0.047,0.744681,0.0930851
9,1,0.045,0.777778,0.0864198
10,1,0.045,0.777778,0.0777778
11,1,0.044,0.795455,0.072314
12,1,0.042,0.833333,0.0694444
