Threads,Match,Time (ms),Speedup,Efficiency
1,0,0.267,1,1
2,0,0.265,1.00755,0.503774
3,0,0.265,1.00755,0.335849
4,0,0.272,0.981618,0.245404
5,0,0.267,1,0.2
6,0,0.263,1.01521,0.169202
7,0,0.265,1.00755,0.143935
8,0,0.266,1.00376,0.12547
9,0,0.269,0.992565,0.110285
10,0,0.267,1,0.1
11,0,0.267,1,0.0909091
12,0,0.266,1.00376,0.0836466
