Threads,Match,Time (ms),Speedup,Efficiency
1,1,0.116,1,1
2,1,0.123,0.943089,0.471545
3,1,0.104,1.11538,0.371795
4,1,0.1,1.16,0.29
5,1,0.105,1.10476,0.220952
6,1,0.115,1.0087,0.168116
7,1,0.083,1.39759,0.199656
8,1,0.111,1.04505,0.130631
9,1,0.094,1.23404,0.137116
10,1,0.12,0.966667,0.0966667
11,1,0.121,0.958678,0.0871525
12,1,0.142,0.816901,0.0680751
