Threads,Match,Time (ms),Speedup,Efficiency
1,1,0.129,1,1
2,1,0.087,1.48276,0.741379
3,1,0.065,1.98462,0.661538
4,1,0.057,2.26316,0.565789
5,1,0.048,2.6875,0.5375
6,1,0.042,3.07143,0.511905
7,1,0.039,3.30769,0.472527
8,1,0.033,3.90909,0.488636
9,1,0.032,4.03125,0.447917
10,1,0.029,4.44828,0.444828
11,1,0.033,3.90909,0.355372
12,1,0.037,3.48649,0.290541
