Threads,Match,Time (ms),Speedup,Efficiency
1,1,0.105,1,1
2,1,0.094,1.11702,0.558511
3,1,0.095,1.10526,0.368421
4,1,0.095,1.10526,0.276316
5,1,0.095,1.10526,0.221053
6,1,0.097,1.08247,0.180412
7,1,0.098,1.07143,0.153061
8,1,0.093,1.12903,0.141129
9,1,0.09,1.16667,0.12963
10,1,0.11,0.954545,0.0954545
11,1,0.105,1,0.0909091
12,1,0.142,0.739437,0.0616197
