Threads,Match,Time (ms),Speedup,Efficiency
1,1,0.113,1,1
2,1,0.108,1.0463,0.523148
3,1,0.101,1.11881,0.372937
4,1,0.105,1.07619,0.269048
5,1,0.103,1.09709,0.219417
6,1,0.097,1.16495,0.194158
7,1,0.105,1.07619,0.153741
8,1,0.1,1.13,0.14125
9,1,0.098,1.15306,0.128118
10,1,0.097,1.16495,0.116495
11,1,0.098,1.15306,0.104824
12,1,0.103,1.09709,0.0914239
