Threads,Match,Time (ms),Speedup,Efficiency
1,1,0.25,1,1
2,1,0.255,0.980392,0.490196
3,1,0.25,1,0.333333
4,1,0.252,0.992063,0.248016
5,1,0.253,0.988142,0.197628
6,1,0.252,0.992063,0.165344
7,1,0.252,0.992063,0.141723
8,1,0.25,1,0.125
9,1,0.252,0.992063,0.110229
10,1,0.251,0.996016,0.0996016
11,1,0.265,0.943396,0.0857633
12,1,0.25,1,0.0833333
